id,matricula,marca,modelo,nSerie,ano,tipo,kmsAtuais,horasAtuais,empresaId,estaleiroId,notas,proximaRevisaoKms,proximaRevisaoHoras
5e080aa8-12fc-4610-875d-c0149e64a821,CE-67-ND,"Hako","650",WHW14701551661200,,Equipamento,0,0,E203,,"",,
5e7a8489-31d0-4e5d-85a5-0a4ff49c03b8,90-TQ-55,"Goupil","G4",VRWGWMZZZH0L00239,,Equipamento,0,0,E076,,"",,
5fdb48ee-b5d4-4728-a826-97b257275f28,BV-62-MA,"Goupil","G4",VRWGWLZZZS0K00235,,G4 14kw - RSU,0,0,E117,,"",,
60198fce-1c07-4910-bff7-0f4ed91a7c0f,GR02137,"SANE","SEMI-REBOQUE",GR02137,,Equipamento,0,0,E095,,"",,
606aaba2-0711-4501-bb83-4f459af4b99e,BM-38-PC,"Goupil","G4",VRWGWMZZZR0K00358,,G4 RSU,0,0,E164,,"",,
609dcafb-23de-4a4d-ac98-1b909a9c41d0,BZ-39-FZ,"Goupil","G4",VRWGWLZZZR0K00937,,G4L 9kw - Cx  Basc,0,0,E036,,"",,
6144ef14-c137-4ec7-8d9d-d24ac1a27c4f,BF-05-DN,"HAKO","1650",WHW14911531176200,,Equipamento,0,0,E007,,"",,
62474c40-9026-4794-8843-1037df768611,VRWG3SNBCF0000339,"Goupil","G3",VRWG3SNBCF0000339,,Caixa Basculante,0,0,E127,,"",,
62c9ad53-1297-4f73-ae61-6f7f9e030a5f,BP-02-PA,"AIXAM","D-Truck",VLGTV580FM2025807,,Equipamento,0,0,E174,,"",,
66e5f065-a610-41b4-9d48-1376506d41e0,BB-12-OT,"HAKO","650",WHW14701520734300,,Equipamento,0,0,E123,,"",,
67cda039-4031-4c45-8a45-e2e740513216,HS-6348,"GOUPIL","G6",VRWG6MZZZP0K00297,,Abastecimento de combustível para avião,0,0,E169,,"",,
6abcf1fc-023f-4358-9aa9-a0b3e7dd7216,BV-02-GE,"HAKO","1650",WHW14911640013600,,Equipamento,0,0,E056,,"",,
6adb2d37-b781-4d80-ad80-781c22e37290,BM-24-AF,"Goupil","G4",VRWGWMZZZR0K00359,,G4 15,4 HP,0,0,E159,,"",,
6afa6a37-88c9-409f-8899-b3daba2147ff,72-TZ-35,"Goupil","G4",VRWGWMZZZH0L00544,,Equipamento,0,0,E067,,"",,
6c938573-db00-4651-bb7b-c9095174fa85,94-TX-04,"Goupil","G4",VRWGWMZZZH0L00520,,Equipamento,0,0,E045,,"",,
6c974e22-f251-4822-9739-2e232b66e020,86-TI-50,"Goupil","G4",VRWGWMZZZH0L00105,,Equipamento,0,0,E013,,"",,
6eed326f-38bf-48ae-8536-1bb8281ba077,BF-19-CG,"Goupil","G2",VRWG2MZZZP0L00162,,G2 5.2KW,0,0,E046,,"",,
700d483a-583c-490d-ba0f-df0bfafb59b5,72-TZ-72,"Goupil","G4",VRWGWMZZZH0L00526,,Equipamento,0,0,E116,,"",,
706e8da4-c90b-447e-98af-19bdbe62851c,67-TN-84 - 737,"Goupil","G4",VRWGWMZZZH0L00219,,Caixa Basculante + HP,0,0,E009,,"",,
7126abdf-a999-4b3b-b8ff-1d90eb2e7784,90-TQ-57,"Goupil","G4",VRWGWMZZZH0L00242,,Equipamento,0,0,E058,,"",,
71aea4d5-2f9b-485f-9246-e7fcb2c8d566,94-TX-02,"Goupil","G4",VRWGWMZZZH0L00516,,Equipamento,0,0,E069,,"",,
71e5565d-2f71-4475-b27d-4c8941957aa6,BH-33-AO,"Goupil","G4",VRWGWMZZZP0K00582,,G4 RSU,0,0,E005,,"",,
729e5dba-2fa2-49d1-ba11-85828cc006e1,BF-83-DM,"HAKO","1650",WHW14911531220200,,Equipamento,0,0,E007,,"",,
72e524a5-f07d-472a-a518-e925cc49e54a,MAT 8,"Goupil","G4",VRWGWLZZZS0K00373,,G4 14kw - Cx  Fixa,0,0,E135,,"",,
7351e666-692a-44cc-90e8-c27bb8da4d18,BU-44-HX - 810,"Goupil","G4",TAPPWMZZZS0K00020,,G4 14kw - Cx  Basc,0,0,E009,,"",,
73611874-bfc4-48e1-800e-da513c6bddd7,CB-68-QT,"Goupil","G4",VRWGWMZZ4S0K00731,,G4 14kw - Caixa RSU Tecam,0,0,E202,,"",,
741c68ae-7616-48f5-a34e-30251f43bbfe,96-TZ-27,"Goupil","G4",VRWGWMZZZH0L00523,,Equipamento,0,0,E020,,"",,
75a2606a-4152-4d87-b5b8-a52e0c8ee1f5,25030119,"TSM","ITALA",25030119,,Equipamento,0,0,E001,,"",,
76ff6306-10d4-4d02-b1a9-3f30d4274c67,67-TN-79 - 732,"Goupil","G4",VRWGWMZZZH0L00206,,Equipamento,0,0,E009,,"",,
7720d640-1572-4a88-bd7e-b0767211353c,BO-92-AG,"Goupil","G4",VRWGWMZZZR0K00615,,G4 15.4KW,0,0,E091,,"",,
785ef196-0e7d-43a3-a1dd-efc48611efa2,02-JS-50,"Goupil","G3",VRWG3SB4CA0000249,,Equipamento,0,0,E080,,"",,
78d0fb6a-b69d-44dd-804f-4e41c0322ad6,BG-57-XS,"Goupil","G4",VRWGWLZZZN0K01783,,GOUPIL TECNO,0,0,E049,,"",,
7a445917-9028-4091-89f2-5a245e718f19,BZ-40-ZT,"Goupil","G4L 21kw - Gancho + Ecoponto",VRWGWLZZZS0K00376,,G4L 21kw - Gancho + Ecoponto,0,0,E051,,"",,
7a462b8a-489d-4f26-834e-821f2dfe0f8d,26281189,"TSM","ARIA 240",26281189,,Equipamento,0,0,E125,,"",,
7ab6b683-c9f9-47d8-a991-c6d4cf5df919,BE-53-FZ,"Goupil","G6",VRWG6MZZZN0K00294,,G6 TRAT + HP,0,0,E090,,"",,
7b336c35-98b3-4cb5-b95d-7bfc59f0a553,CI-88-IR,"GOUPIL","G4",VRWGWLZZ4T0K00336,,G4 14kw - RSU,0,0,E005,,"",,
7d26f199-7272-4db8-a825-9906994b4681,20020001,"TSM","ARIA",20020001,,Equipamento,0,0,E072,,"",,
7f8144fc-e531-4edf-8e26-ef63f01c6f71,40-ZM-82,"Goupil","G4",VRWGWMZZZK0L00068,,Equipamento,0,0,E005,,"",,
7f9aadd2-4578-4e18-a029-56e3159512b6,46-ZR-96,"Goupil","G4",VRWGWMZZZK0L00414,,Equipamento,0,0,E099,,"",,
7fb18947-235c-4293-8dac-d98c09daa058,67-TN-80 - 733,"Goupil","G4",VRWGWMZZZH0L00207,,Equipamento,0,0,E009,,"",,
