id,nome,moradaSede,estaleiros,coordsSede
E171,"MUNICIPIO DE FRONTEIRA","PR DO MUNICIPIO 2 , 7460-110 FRONTEIRA","[]",""
E172,"AUCHAN RETAIL PORTUGAL, S.A.","ESTRADA DE PAÇO DE ARCOS N 48 A, 2770-190 PAÇO DE ARCOS","[]",""
E173,"MUNICIPIO DE FORNOS DE ALGODRES","ESTR NACIONAL N 16, 6370-147 FORNOS DE ALGODRES","[]",""
E174,"Freguesia de Modivas","Rua do Padrão n. 172, 4485-591 Modivas","[]",""
E175,"ROLAUTO - REPARAÇÕES AUTO UNIPESSOAL LDA","ZONA INDUSTRIAL DE POIARES RUA G LOTE 52, 3350-214 SAO MIGUEL DE POIARES","[]",""
E176,"STATIONGUIMARÃES-CENTRO DE MANUTENÇÃO DE VEICULOS LDA","RUA PINHEIRO MANSO N 443 EDIFICIO ROADY, 4810-107 GUIMARÃES","[]",""
E177,"FAGAR FARO GESTÃO DE AGUAS E RESIDUOS EM","RUA PROFESSOR NORBERTO DA SILVA N 8, 8004-002 FARO","[]",""
E178,"MunicÍpio de Miranda do Douro","Largo D. João III, 5210-190 MIRANDA DO DOURO","[]",""
E179,"MUNICIPIO DE MACEDO DE CAVALEIROS","JRD 1 DE MAIO , 5340-218 MACEDO DE CAVALEIROS","[]",""
E180,"MUNICIPIO DE VILA FLOR","AV MARECHAL CARMONA , 5360-303 VILA FLOR","[]",""
E181,"LATITUDESQUADRIA - PARQUES, LDA","RUA PALMIRA, 62-A , 1170-289 LISBOA","[]",""
E182,"MÁQUICORREDORA - COMÉRCIO DE MÁQUINAS E EQUIPAMENTOS LDA","Prq. Industrial, Lt. 135, Apt. 199, 7160-292 Vila Viçosa","[]",""
E183,"REPSOL PORTUGUESA, LDA","AV JOSE MALHOA N 16 , 1099-091 LISBOA","[]",""
E184,"SABA SOC ABASTECEDORA AERONAVES LDA","GRUPO OPERACIONAL DE COMBUSTÍVEIS DO AEROPORTO DE LISBO , 1750-420 LISBOA","[]",""
E185,"Freguesia de Estrela","Rua Almeida Brandão, Nº 39, 1200-602 LISBOA","[]",""
E186,"MUNICIPIO DE MIRANDELA","PC DO MUNICIPIO , 5370-288 MIRANDELA","[]",""
E187,"MUNICIPIO DA CALHETA","RUA 25 DE ABRIL , 9850-032 CALHETA (SAO JORGE)","[]",""
E188,"INQUIETO MOBILIDADE CURIOSA UNIPESSOAL LDA","EDIFICIO GAM BAIRRO DO CHARQUEIRÃO, 2870-890 MONTIJO","[]",""
E189,"MUNICIPIO DE PONTE DE SOR","CAMPO DA RESTAURAÇÃO, 7400-223 PONTE DE SOR","[]",""
E190,"MUNICIPIO DE MELGA�O","LG HERMENEGILDO SOLHEIRO, 4960-551 MELGAÇO","[]",""
E191,"LUREC LIMPEZA URBANA E RECICLAGEM S A","ZONA INDUSTRIAL LOTE 71 , 6230-485 FUNDÃO","[]",""
